driver_id,vehicle_id,age,driving_experience_yr,past_claims,traffic_violations,vehicle_type,vehicle_age_yr,engine_cc,avg_speed_kmh,harsh_braking_per100km,rapid_accel_per100km,cornering_force_avg_g,speeding_pct,night_driving_pct,total_trips,avg_trip_km,trip_completeness_pct,unverified_trips,days_since_policy_start,onboarding_phase,risk_score,risk_category,risk_label
DRV0001,VEH0001,26,4,0,1,Sedan,5,1400,67.5,9.6,8.11,0.343,7.2,3.0,99,34.0,76.7,2,163,1,0.3993,Medium Risk,1
DRV0002,VEH0002,50,19,0,0,Van,1,1200,84.0,4.14,2.92,0.117,20.7,4.1,19,24.5,51.5,0,27,0,0.6737,High Risk,2
DRV0003,VEH0003,18,0,1,1,Sedan,9,1400,49.8,0.58,10.04,0.173,32.2,18.7,42,15.2,71.3,14,246,1,0.4066,Medium Risk,1
DRV0004,VEH0004,45,22,3,1,Sedan,1,800,29.1,14.33,6.23,0.176,20.5,19.7,18,20.4,64.4,14,107,1,0.4975,Medium Risk,1
DRV0005,VEH0005,54,21,0,0,Two-Wheeler,10,125,43.9,13.26,8.75,0.256,23.3,31.3,54,53.4,97.1,12,262,1,0.5185,Medium Risk,1
DRV0006,VEH0006,59,15,0,1,Hatchback,2,1500,46.5,9.06,6.73,0.539,42.7,42.3,105,21.9,93.3,5,107,1,0.6099,Medium Risk,1
DRV0007,VEH0007,19,0,3,0,Hatchback,11,2000,66.0,17.38,8.89,0.255,15.9,30.6,26,20.0,69.6,10,46,0,0.6099,Medium Risk,1
DRV0008,VEH0008,53,3,3,2,Sedan,7,1500,37.7,1.81,2.55,0.319,22.1,44.1,77,4.7,74.6,10,223,1,0.4342,Medium Risk,1
DRV0009,VEH0009,28,9,0,0,Van,11,1500,34.3,5.16,8.7,0.444,17.2,16.8,50,41.6,67.1,10,34,0,0.413,Medium Risk,1
DRV0010,VEH0010,20,0,2,0,SUV,2,1400,62.7,5.16,15.9,0.201,25.8,16.8,22,34.0,97.4,3,131,1,0.4836,Medium Risk,1
DRV0011,VEH0011,50,2,3,1,Sedan,0,1000,29.0,11.19,4.84,0.452,31.0,33.5,98,45.3,66.5,1,272,1,0.5619,Medium Risk,1
DRV0012,VEH0012,55,1,0,0,Sedan,3,800,67.5,2.71,13.6,0.489,14.5,29.4,79,24.7,92.8,3,20,0,0.4661,Medium Risk,1
DRV0013,VEH0013,48,7,0,1,Sedan,15,1500,29.6,9.98,0.77,0.337,14.0,40.2,73,47.1,81.0,13,80,0,0.4231,Medium Risk,1
DRV0014,VEH0014,28,3,1,1,Sedan,7,1200,61.4,10.6,14.59,0.24,11.7,27.4,94,48.1,44.6,10,138,1,0.771,High Risk,2
DRV0015,VEH0015,49,9,0,1,SUV,7,1800,90.0,10.97,7.35,0.092,41.6,39.4,34,25.6,65.8,3,211,1,0.5486,Medium Risk,1
DRV0016,VEH0016,29,2,0,0,Van,14,1200,43.5,11.08,11.59,0.4,25.1,32.4,39,9.8,56.3,12,164,1,0.6998,High Risk,2
DRV0017,VEH0017,46,3,0,0,Hatchback,9,800,47.8,16.4,9.29,0.464,20.2,11.6,96,36.1,63.6,2,6,0,0.5575,Medium Risk,1
DRV0018,VEH0018,45,23,0,1,Sedan,6,800,39.3,7.93,2.21,0.204,29.0,17.9,11,20.3,60.0,8,47,0,0.366,Medium Risk,1
DRV0019,VEH0019,57,3,3,1,Van,5,1400,85.3,4.27,7.8,0.309,37.1,17.7,93,30.2,85.9,2,85,0,0.5137,Medium Risk,1
DRV0020,VEH0020,27,4,0,1,Two-Wheeler,0,150,92.5,2.18,9.18,0.485,43.4,39.2,82,19.4,58.3,3,274,1,0.8459,High Risk,2
DRV0021,VEH0021,56,20,0,0,Van,2,1400,80.4,11.18,13.1,0.16,23.7,27.4,111,32.5,70.6,11,253,1,0.5192,Medium Risk,1
DRV0022,VEH0022,44,21,1,0,SUV,9,1000,33.9,10.01,13.35,0.415,35.7,22.8,24,32.4,64.6,12,173,1,0.6054,Medium Risk,1
DRV0023,VEH0023,60,27,1,2,Sedan,2,1500,35.5,5.81,6.06,0.301,11.4,38.7,18,29.9,41.2,8,148,1,0.8141,High Risk,2
DRV0024,VEH0024,49,25,0,2,Van,9,1400,44.3,16.04,8.63,0.265,0.6,0.9,100,39.8,55.3,10,191,1,0.8283,High Risk,2
DRV0025,VEH0025,51,16,1,1,SUV,8,800,51.2,8.47,3.72,0.427,41.0,12.4,86,30.3,68.5,5,343,1,0.5049,Medium Risk,1
DRV0026,VEH0026,40,9,2,0,Hatchback,0,1500,60.1,13.48,12.69,0.474,22.3,35.0,66,6.4,44.0,7,32,0,0.7721,High Risk,2
DRV0027,VEH0027,45,26,1,0,Hatchback,7,1200,38.5,11.81,11.36,0.216,24.1,32.9,68,4.1,47.7,0,66,0,0.7253,High Risk,2
DRV0028,VEH0028,40,1,3,0,Sedan,9,1400,35.7,13.08,13.35,0.33,0.3,39.0,90,44.7,85.8,9,296,1,0.5648,Medium Risk,1
DRV0029,VEH0029,23,2,1,1,Two-Wheeler,2,150,47.7,15.08,4.91,0.429,44.6,26.2,37,16.9,88.6,7,220,1,0.6273,High Risk,2
DRV0030,VEH0030,47,10,0,1,Hatchback,8,1000,81.8,5.3,6.32,0.307,7.9,30.5,52,8.2,67.7,1,170,1,0.3894,Medium Risk,1
DRV0031,VEH0031,22,1,0,1,Van,14,1500,57.8,9.16,4.99,0.34,38.9,24.8,45,6.2,50.1,1,331,1,0.7458,High Risk,2
DRV0032,VEH0032,40,13,0,1,Hatchback,1,1400,45.6,3.68,2.4,0.132,39.2,16.8,113,53.0,94.0,8,6,0,0.323,Low Risk,0
DRV0033,VEH0033,38,6,0,2,Sedan,10,800,44.5,11.29,9.25,0.151,21.1,5.5,111,39.4,43.2,14,53,0,0.6725,High Risk,2
DRV0034,VEH0034,26,7,0,0,Sedan,8,1800,90.1,14.64,6.07,0.13,34.7,17.3,59,29.0,46.0,11,342,1,0.8041,High Risk,2
DRV0035,VEH0035,36,1,1,2,Sedan,4,800,33.5,4.62,3.54,0.257,38.1,47.8,21,42.1,82.5,3,73,0,0.4718,Medium Risk,1
DRV0036,VEH0036,51,3,1,1,Two-Wheeler,1,125,42.2,9.41,6.03,0.479,4.0,9.9,80,42.7,46.0,2,290,1,0.6603,High Risk,2
DRV0037,VEH0037,44,3,2,0,SUV,11,1200,58.8,12.48,10.24,0.402,7.0,47.4,56,25.3,88.3,5,142,1,0.5805,Medium Risk,1
DRV0038,VEH0038,28,5,0,0,SUV,13,800,76.9,13.97,12.64,0.415,44.1,15.1,15,38.8,53.9,9,49,0,0.7971,High Risk,2
DRV0039,VEH0039,25,1,2,2,Hatchback,13,1400,48.2,6.07,9.42,0.115,9.2,17.9,59,24.8,61.8,15,305,1,0.4224,Medium Risk,1
DRV0040,VEH0040,58,23,0,1,SUV,7,1400,49.3,12.34,14.92,0.541,6.1,41.0,109,16.4,92.6,15,130,1,0.6434,High Risk,2
DRV0041,VEH0041,48,10,3,0,Hatchback,7,2000,87.6,2.88,2.04,0.146,11.9,16.8,10,54.7,53.4,15,254,1,0.7774,High Risk,2
DRV0042,VEH0042,31,3,3,2,Hatchback,9,1000,63.2,0.99,13.56,0.067,10.2,26.2,48,41.9,61.6,12,365,1,0.4296,Medium Risk,1
DRV0043,VEH0043,50,30,1,0,Two-Wheeler,14,110,43.3,11.03,11.48,0.296,23.7,41.4,12,27.9,48.0,13,231,1,0.8064,High Risk,2
DRV0044,VEH0044,18,0,0,0,SUV,13,1400,51.1,2.38,12.53,0.346,40.8,44.2,46,54.3,43.3,15,360,1,0.7348,High Risk,2
DRV0045,VEH0045,61,37,0,0,Sedan,12,800,82.3,8.19,2.14,0.373,41.4,14.9,13,8.7,62.4,7,312,1,0.4676,Medium Risk,1
DRV0046,VEH0046,31,2,0,2,Hatchback,8,2000,41.2,10.67,3.08,0.275,8.2,21.8,32,30.5,63.5,6,203,1,0.3948,Medium Risk,1
DRV0047,VEH0047,40,15,0,1,Sedan,7,1200,42.3,12.32,10.61,0.056,41.5,48.6,106,34.6,44.6,9,131,1,0.6974,High Risk,2
DRV0048,VEH0048,56,10,0,0,Sedan,2,800,73.0,13.13,2.41,0.14,35.1,38.1,11,38.9,83.1,3,115,1,0.4606,Medium Risk,1
DRV0049,VEH0049,29,7,0,0,Hatchback,12,1000,34.3,11.67,5.42,0.152,16.3,25.7,105,8.1,51.9,1,31,0,0.7532,High Risk,2
DRV0050,VEH0050,56,18,2,1,Sedan,9,1000,45.2,17.66,6.07,0.339,30.3,34.2,111,40.5,94.1,0,6,0,0.6352,High Risk,2
DRV0051,VEH0051,57,38,0,1,SUV,15,1000,78.2,4.84,11.04,0.476,14.2,35.8,31,43.1,47.2,1,164,1,0.6693,High Risk,2
DRV0052,VEH0052,26,3,1,1,Hatchback,9,1200,41.8,2.43,13.13,0.306,28.9,19.3,93,22.7,84.0,8,126,1,0.4764,Medium Risk,1
DRV0053,VEH0053,31,9,0,0,Hatchback,6,1200,87.0,2.27,3.9,0.257,31.1,47.1,63,11.8,84.9,2,179,1,0.3983,Medium Risk,1
DRV0054,VEH0054,47,17,0,0,Van,15,800,54.7,12.65,8.86,0.174,19.3,43.5,45,4.1,50.7,4,66,0,0.8431,High Risk,2
DRV0055,VEH0055,40,20,0,0,SUV,2,1800,60.3,11.86,1.3,0.089,24.6,15.9,36,45.0,86.3,1,294,1,0.3271,Low Risk,0
DRV0056,VEH0056,58,33,1,1,Hatchback,8,2000,65.6,16.65,6.38,0.106,1.0,7.5,38,43.3,95.3,10,201,1,0.4216,Medium Risk,1
DRV0057,VEH0057,61,35,3,0,SUV,9,1500,42.9,7.13,6.39,0.194,32.3,43.6,24,15.6,92.1,3,306,1,0.4899,Medium Risk,1
DRV0058,VEH0058,19,0,0,1,Two-Wheeler,15,200,57.3,11.79,10.35,0.085,14.3,4.2,112,9.1,53.1,13,120,1,0.6551,High Risk,2
DRV0059,VEH0059,26,5,0,0,Two-Wheeler,9,200,71.6,17.21,3.85,0.078,27.5,3.7,41,47.5,62.6,9,196,1,0.4365,Medium Risk,1
DRV0060,VEH0060,19,0,0,1,Sedan,14,1500,54.2,2.43,3.44,0.089,38.8,8.1,14,12.0,69.9,10,359,1,0.3241,Low Risk,0
DRV0061,VEH0061,51,13,0,0,SUV,8,1800,55.6,7.05,3.09,0.365,23.6,7.1,74,7.8,49.4,12,103,1,0.7263,High Risk,2
DRV0062,VEH0062,18,0,1,1,SUV,0,2000,75.7,3.51,8.93,0.343,2.3,24.6,18,16.9,79.9,8,340,1,0.3817,Medium Risk,1
DRV0063,VEH0063,30,3,3,0,Sedan,4,1400,84.7,10.97,11.22,0.447,23.3,14.1,10,14.8,40.6,15,213,1,0.8268,High Risk,2
DRV0064,VEH0064,25,5,0,0,Sedan,4,800,82.9,12.99,5.5,0.504,14.4,8.1,51,13.3,49.5,1,127,1,0.7944,High Risk,2
DRV0065,VEH0065,29,4,0,2,Hatchback,12,2000,31.1,9.32,7.21,0.444,30.8,43.3,58,30.2,93.6,2,72,0,0.5844,Medium Risk,1
DRV0066,VEH0066,45,25,0,0,Two-Wheeler,0,125,48.2,4.59,1.94,0.253,36.2,1.0,99,31.7,82.8,9,280,1,0.2967,Low Risk,0
DRV0067,VEH0067,31,4,0,0,SUV,12,1500,56.5,15.12,7.07,0.133,19.2,30.9,116,13.5,58.8,2,210,1,0.7554,High Risk,2
